username,content,date,likes,retweets,replies,timestamp
Drayyy,If you believe Onana is the best Goal Keeper in the world Like this tweet!!!,2025-05-21T19:51:01.000Z,0,0,0,2025-05-21 16:01:57
JA KISIIâ„¢,What did we do lord to deserve a Goalkeeper like Andrew Onana ,2025-05-21T19:59:44.000Z,0,0,0,2025-05-21 16:01:57
â€ ,"anytime you feel stvpid, remember Manchester United got rid of this guy for Onana and you will be fine.",2025-05-21T19:56:39.000Z,0,0,0,2025-05-21 16:01:57
Wealth,Getting rid of De Gea for Onana was the biggest mistake we ever did as a club. We can't keep on pretending.,2025-05-21T19:51:01.000Z,0,0,0,2025-05-21 16:01:58
Gayton McKenzie,"Rupert is not who we think he is, he is a true Patriot. He loves this country and I wanna be the first to admit that I was wrong about him. He spoke up against killing on flats, he spoke against illegal foreigners but most importantly he stood up for South Africa. He is a gem ",2025-05-21T18:05:25.000Z,0,0,0,2025-05-21 16:02:44
Sumit,"Elon Musk is BACK in the Oval Office, staring the President of South Africa in the eyes

Trump playing video footage of South Africaâ€™s black party singing â€œkill the Boer (Whites), kill the White farmer"" in front of the South African president.

Cyril Ramaphosa was speechless ",2025-05-21T17:28:33.000Z,0,0,0,2025-05-21 16:02:44
Spitfire,Here is your â€œunfoundedâ€ PROOF! Delete your acct.,2025-05-21T18:02:30.000Z,0,0,0,2025-05-21 16:03:27
Libs of TikTok,"â€œFalse claimsâ€ - NYT

â€œUnfoundedâ€ - ABC

â€œDebunked conspiracy theoryâ€ - CNN

â€œFalse claimsâ€ - Forbes

All the media does is lie. Pure trash.",2025-05-21T18:48:06.000Z,0,0,0,2025-05-21 16:03:27
Abochie (Fan),"Luke Shaw scored an own goal but yeah, letâ€™s put the blame on Andre Onana. Man United fans ",2025-05-21T19:55:46.000Z,0,0,0,2025-05-21 16:04:23
@ftblTheo_,Luke shaw when you need him the most,2025-05-21T19:45:21.000Z,0,0,0,2025-05-21 16:04:23
Tottenham Hotspur,BRENNAN JOHNSOOOONNNNN!!!!!!,2025-05-21T19:43:26.000Z,0,0,0,2025-05-21 16:05:09
ğ”¸bğ•’ğ•«ğ•«,Tottenham fans 45 minutes untill we cook,2025-05-21T19:52:41.000Z,0,0,0,2025-05-21 16:05:09
smith(fan),"if manchester united beat tottenham tonight, iâ€™ll select 6 people who retweet this post and dash them 50$ each

#UELfinal 
#EuropaLeagueFinal",2025-05-21T11:40:19.000Z,0,0,0,2025-05-21 16:05:51
Mex (Fan),"The Europa League final between Totenham and Manchester United has been the most useless final in the history of football 
#MUNTOT 
#EuropaLeagueFinal",2025-05-21T19:43:23.000Z,0,0,0,2025-05-21 16:05:51
NFL,"Hard Knocks: Training Camp with the 
@BuffaloBills
Premieres Aug 5 on 
@StreamOnMax",2025-05-21T17:26:21.000Z,0,0,0,2025-05-21 16:06:40
NFL,"Hard Knocks: In Season returns with the NFC East!

Coming this December on 
@StreamOnMax",2025-05-21T17:33:57.000Z,0,0,0,2025-05-21 16:06:40
Sam Altman,"thrilled to be partnering with jony, imo the greatest designer in the world.

excited to try to create a new generation of AI-powered computers.",2025-05-21T17:28:24.000Z,0,0,0,2025-05-21 16:07:28
OpenAI,Sam & Jony introduce io,2025-05-21T17:00:05.000Z,0,0,0,2025-05-21 16:07:28
